узнать,"to know, learn, recognize",verb
назад,"back, backwards",adverb
общий,"general, common",adjective
заметить,"to notice, observe",verb
словно,"as if, like",conjunction
прошлый,past,adjective
уйти,"to leave, go away",verb
известный,"well-known, famous",adjective
давно,long ago,adverb
слышать,to hear,verb
слушать,"to listen, hear",verb
бояться,"to be afraid, fear",verb
сын,son,noun
нельзя,"it is impossible, can't",predicate
прямо,"straight, frankly",adverb
долго,for a long time,adverb
быстро,"fast, quickly",adverb
лес,forest,noun
похожий,"similar, alike",adjective
пора,time; pore (see #1000),noun
пять,five,cardinal number
глядеть,"to look,  gaze",verb
оно,it,pronoun
сесть,to sit,verb
имя,name,noun
ж,"and, as for, but (see #27)",misc
разговор,"talk, conversation",noun
тело,body,noun
молодой,young (see #679); bridegroom (as a noun),adjective
стена,wall,noun
красный,red,adjective
читать,to read,verb
право,right,noun
старик,old man,noun
ранний,early,adjective
хотеться,"want, like",misc (impersonal)
мама,"mummy, mum",noun
оставаться,"to remain, stay (see #173)",verb
высокий,"tall, high",adjective
путь,"way, track, path",noun
поэтому,therefore,adverb
совершенно,"absolutely, quite",adverb
кроме,"except, besides",preposition
тысяча,a thousand,cardinal number
месяц,month,noun
брать,to take; hire,verb
написать,to write,verb
целый,"intact, whole, entire",adjective
огромный,"huge, enormous",adjective
начинать,to begin (see #413),verb
спина,back,noun
настоящий,"present;real, true",adjective
пусть,"let's, though","conj, particle"
язык,"tongue, language",noun
точно,exactly,adverb
среди,among,preposition
чувствовать,to feel,verb
сердце,heart,noun
вести,to lead,verb
иногда,sometimes,adverb
мальчик,boy,noun
успеть,"to be in time, be successful",verb
небо,sky,noun
живой,"living, live, lively",adjective
смерть,death,noun
продолжать,to continue,verb
девушка,"girl, miss (see #524)",noun
образ,"shape, form, image",noun
ко,"to, towards, by (see #19)",preposition
забыть,to forget,verb
вокруг,around,preposition
письмо,letter,noun
власть,power,noun
чёрный,black (see #456),adjective
пройти,"to pass, go by, be over (see #543)",verb
появиться,"to appear, show up (see #699)",verb
воздух,air,noun
разный,different,adjective
выходить,to go out; nurse (see #176),verb
просить,to ask,verb
брат,brother,noun
собственный,"one's own; masterrussian, dot com",adjective
отношение,"relationship, attitude",noun
затем,"then, after that",adverb
пытаться,to try,verb
показать,"to show, display",verb
вспомнить,"to remember, recall",verb
система,system,noun
четыре,four,cardinal number
квартира,"flat, apartment",noun
держать,"to hold, keep",verb
также,"also, as well, too",misc
любовь,love,noun
солдат,soldier,noun
откуда,where… from,adverb
чтоб,"that, in order that, (See #74)",misc
называть,"to call, name, (See #597)",verb
третий,third,ordinal number
хозяин,"master, boss, host",noun
вроде,"like, not unlike","preposition, particle"
уходить,"to leave, go away",verb
подойти,"to approach, come up(See #798)",verb
поднять,"to lift, raise",verb
особенно,"especially, particularly",adverb
спрашивать,"to ask, inquire",verb
начальник,"chief, head, superior",noun
оба,both,numeral
бросить,to throw,verb
школа,school,noun
парень,"boy, fellow, guy",noun
кровь,blood,noun
двадцать,twenty,cardinal numberinal number
солнце,sun,noun
неделя,week,noun
послать,"to send, dispatch",verb
находиться,"to be found, turn up",verb
ребята,"guys, children",noun
поставить,"to put, place, set",verb
встать,"to get up, rise, stand up",verb
например,"for example, for instance",misc
шаг,step,noun
мужчина,"man, male",noun
равно,"alike, in like manner",adverb
нос,nose,noun
мало,"little, few, (See #630)",adverb
внимание,attention,noun
капитан,"captain, master",noun
ухо,ear,noun
туда,there,adverb
сюда,here,adverb
играть,to play,verb
следовать,"to follow, come next",verb
рассказать,"to tell, narrate(See #403)",verb
великий,great,adjective
действительно,"indeed, really",adverb
слишком,"too, too much",adverb
тяжёлый,heavy,adjective
спать,to sleep,verb
оставить,"to leave, abandon",verb
войти,"to enter, come in",verb
длинный,long,adjective
чувство,feeling,noun
молчать,to keep silence,verb
рассказывать,"to tell, narrate, (See #392)",verb
отвечать,"to answer, reply, (See #190)",verb
становиться,to stand; to become,verb
остановиться,to stop,verb
берег,"bank, shore,  coast",noun
семья,family,noun
искать,to search,verb
генерал,general,noun
момент,"moment, instant",noun
десять,ten,cardinal number
начать,to begin(See #309),verb
следующий,"next, following",adjective
личный,personal,adjective
труд,"labour, work",noun
верить,"to believe; masterrussian, dot com",verb
группа,group,noun
немного,a little,adverb
впрочем,"however, though",conjunction
видно,"evidently, obviously",misc
являться,to appear,verb
муж,husband,noun
разве,"really?, perhaps",particle
движение,movement,noun
порядок,order,noun
ответ,"answer, reply",noun
тихо,"quietly, softly, slowly",adverb
знакомый,"familiar, acquainted",adjective
газета,newspaper,noun
помощь,help,noun
сильный,"strong, powerful",adjective
скорый,"quick, fast",adjective
собака,dog,noun
дерево,tree,noun
снег,snow,noun
сон,dream,noun
смысл,"sense, meaning, purpose",noun
смочь,to be able,verb
против,"against, opposite, contrary to",preposition
бежать,"to run, hurry",verb
двор,"yard, court",noun
форма,"form, shape, uniform",noun
простой,"simple, easy, plain",adjective
приехать,"to arrive, come",verb
иной,"different, other",pronoun
кричать,"to cry, shout(See #656)",verb
возможность,"possibility, opportunity, chance",noun
общество,society,noun
зеленый,green,adjective
грудь,"breast, chest",noun
угол,"corner, angle",noun
открыть,to open,verb
происходить,"to happen, occur, take place",verb
ладно,"in harmony, well, all right",adverb
черный,"black (as in ""she wears black"")(See #333)",noun
век,"century, age",noun
карман,pocket,noun
ехать,"to go, ride, drive, travel",verb of motion
немец,German,noun
наверное,"probably, most likely(See #972)",adverb
губа,lip,noun
дядя,uncle,noun
приходить,"to come, arrive(See #253)",verb
часто,often,adverb
домой,"home(as in ""she came home"")",adverb
огонь,fire,noun
писатель,writer,noun
армия,army,noun
состояние,"state, condition; fortune",noun
зуб,tooth,noun
очередь,"line, queue, turn",noun
кой,"which (old-fashioned, literary); mostly found in set expressions: ни в ко́ем слу́чае, ни ко́им о́бразом, в кои ве́ки, на кой чёрт?",pronoun
подняться,"to rise, climb",verb
камень,stone,noun
гость,guest,noun
показаться,"to appear, come in sight",verb
ветер,wind,noun
собираться,"to gather together, assemble; intend(See #981)",verb
попасть,to hit; to find oneself,verb
принять,"to take, admit, accept(See #643)",verb
сначала,"at first, from the beginning",adverb
либо,or,conjunction
поехать,"to depart, set off",verb
услышать,to hear,verb
уметь,"to be able, know, can",verb
случиться,to happen,verb
странный,strange,adjective
единственный,"only, sole",adjective
рота,company (military),noun
закон,"law, act, statue",noun
короткий,short,adjective
море,sea,noun
добрый,kind,adjective
темный,dark,adjective
гора,"mountain, hill",noun
врач,"physician, doctor",noun
край,"border, edge; land, country",noun
стараться,"to try, endeavour",verb
лучший,"better, best",adjective
река,river,noun
военный,military,adjective
мера,"measure, step",noun
страшный,"terrible, frightful",adjective
вполне,"quite, fully",adverb
звать,to call,verb
произойти,"to happen, occur, take place",verb
вперед,forward,preposition
медленно,slowly,adverb
возле,"by, near, close by",preposition
никак,"in now way, by no means",adverb
заниматься,"to be occupied, engage",verb
действие,"action, effect",noun
довольно,enough; rather,adverb
вещь,thing,noun
необходимый,necessary,adjective
ход,move,noun
боль,pain,noun
судьба,"fate, fortune, destiny",noun
причина,"cause, reason, motive",noun
положить,"to lay down, put down, place",verb
едва,"hardly, just, barely",adverb
черта,"line, boundary; trait",noun
девочка,"girl, little girl(See #326)",noun
лёгкий,"light, easy",adjective
волос,hair,noun
купить,"to buy, purchase",verb
номер,"number, size, room, issue",noun
основной,main,adjective
широкий,wide,adjective
умереть,to die,verb
далеко,"far, far off",adverb
плохо,badly,adverb
глава,"head, chief",noun
красивый,"beautiful; masterrussian, dot com",adjective
серый,grey; dull,adjective
пить,to drink,verb
командир,"commander, commanding officer",noun
обычно,usually,adverb
партия,party,noun
проблема,"problem, issue",noun
страх,fear,noun
проходить,"to pass, go;study(See #334)",verb
ясно,"clear, clearly",adverb
снять,"to take away, take off;photograph",verb
бумага,paper,noun
герой,hero,noun
пара,"pair, couple",noun
государство,State,noun
деревня,"village, country",noun
речь,speech,noun
начаться,to begin,verb
средство,"means, remedy",noun
положение,"position, posture, condition, state",noun
связь,"tie, bond; connection, relation",noun
скоро,"quickly, fast, soon",adverb
небольшой,"small, not great",adjective
представлять,"to present, introduce, imagine(See #586)",verb
завтра,tomorrow,adverb
объяснить,to explain,verb
пустой,"empty, hollow; idle",adjective
произнести,"to pronounce, say, utter",verb
человеческий,human,adjective
нравиться,"to please, like",verb
однажды,"once, one day",adverb
мимо,"past, by",preposition
иначе,"otherwise, differentlyl",adverb
существовать,"to exist, to be",verb
класс,class,noun
удаться,"turn out well, succeed, manage",verb
толстый,"thick, heavy, fat",adjective
цель,"goal, object, target",noun
сквозь,through,preposition
прийтись,"to fit, fall; have to",verb
чистый,"clean, pure",adjective
знать,to know(See #51),noun
прежний,former,adjective
профессор,professor,noun
господин,"gentleman, Mr.",noun
счастье,"happiness, luck",noun
худой,"thin, skinny; masterrussian.com",adjective
дух,spirit,noun
план,plan,noun
чужой,"somebody else's;strange, foreign",adjective
зал,hall,noun
представить,"to presetn, produce, introduce(See #558)",verb
особый,special,adjective
директор,"director, manager",noun
бывший,"former, ex-",adjective
память,memory,noun
близкий,"near, similar; intimate",adjective
сей,this,pronoun
результат,"result, outcome",noun
больной,sick,adjective
данный,"given, present",adjective
кстати,"to the point, at the same time",adverb
назвать,"to call, name(See #356)",verb
след,"track, footprint",noun
улыбаться,to smile(See #605),verb
бутылка,bottle,noun
трудно,with difficulty,adverb
условие,"condition, term",noun
прежде,before,preposition
ум,"mind, brains, intellect",noun
улыбнуться,to smile(See #599),verb
процесс,process,noun
картина,"picture, painting",noun
вместо,instead,preposition
старший,"elder, senior",adjective
легко,"easily, lightly",adverb
центр,center,noun
подобный,"similar, like",adjective
возможно,"as… as possible(as in ""as soon as possible"")",adverb
около,"by, near",preposition
смеяться,to laugh,verb
сто,hundred,cardinal numberinal number
будущее,future,noun
хватать,"to snatch, seize; be sufficient(See #636)",verb
число,number,noun
всякое,"any, every",pronoun
рубль,ruble,noun
почувствовать,to feel,verb
принести,to bring; masterrussian,verb
вера,"faith, belief",noun
вовсе,quiet; not … at all,adverb
удар,"blow, stroke",noun
телефон,telephone,noun
колено,knee,noun
согласиться,"to agree, consent",verb
мало,"little, few, not enough(See #384)",cardinal numberinal number
коридор,"corridor, passage",noun
мужик,"muzhik, man",noun
правый,right,adjective
автор,author,noun
холодный,"cold, cool",adjective
хватить,"to snatch, seize, suffice(See #618)",verb
многие,many,pronoun
встреча,"meeting, reception",noun
кабинет,"study, room, office suite",noun
документ,document,noun
самолет,"aircraft, aeroplane",noun
вниз,"down, downwards",adverb
принимать,"to take, admit, accept (See #481)",verb
игра,"game, play",noun
рассказ,story,noun
хлеб,bread,noun
развитие,development,noun
убить,to kill,verb
родной,"own, native, dear",adjective
открытый,open,adjective
менее,less,adverb
предложить,"to offer, propose, suggest",verb
желтый,yellow,adjective
приходиться,"to fit, fall; have to",verb
выпить,to drink,verb
крикнуть,"to cry, shout(See #447)",verb
трубка,"tube, roll, pipe",noun
враг,enemy,noun
показывать,"to show, display",verb
двое,two,cardinal number
доктор,doctor,noun
ладонь,palm,noun
вызвать,"to call, send(See #821)",verb
спокойно,quietly,adverb
попросить,to ask,verb
наука,science,noun
лейтенант,lieutenant,noun
служба,"service, work",noun
оказываться,"to turn out, find oneself(See #183)",verb
привести,to bring,verb
сорок,forty,cardinal number
счет,"bill, account",noun
возвращаться,to return,verb
золотой,golden,adjective
местный,local,adjective
кухня,kitchen,noun
крупный,"large, big, prominent",adjective
решение,"decision, conclusion",noun
молодая,bride (See #288); young (as an adjective),noun
тридцать,thirty,cardinal number
роман,"novel, romance",noun
требовать,to demand,verb
компания,company,noun
частый,frequent,adjective
российский,Russian,adjective
рабочий,working,adjective
потерять,to lose,verb
течение,current,noun
синий,dark blue,adjective
столько,"so much, so many",adverb
теплый,warm,adjective
метр,"meter, metre",noun
достать,"to reach; get, obtain",verb
железный,"ferreous, iron",adjective
институт,institute,noun
сообщить,"to report, let know",verb
интерес,interes,noun
обычный,"usual, ordinary",adjective
появляться,"to appear, show up(See #335)",verb
упасть,to fall,verb
остальной,"remaining, the rest of",adjective
половина,half,noun
московский,Moscow,adjective
шесть,six,cardinal number
получиться,"to come, arrive, turn out",verb
качество,quality,noun
бой,"battle, fight, combat",noun
шея,neck,noun
вон,out,adverb
идея,idea,noun
видимо,"apparently, seemingly",adverb
достаточно,"enough, sufficiently",adverb
провести,"to accompany, set off; conduct; spend (See #973)",verb
важный,important,adjective
трава,grass,noun
дед,"grandfather, old man",noun
сознание,consciousness,noun
родитель,"parent; masterrussian, dot, com",noun
простить,to forgive,verb
бить,"to beat, hit",verb
чай,tea,noun
поздний,late,adjective
кивнуть,to nod,verb
род,"family, clan, generation",noun
исчезнуть,to disappear,verb
тонкий,thin,adjective
немецкий,German,adjective
звук,sound,noun
отдать,"to return, give back",verb
магазин,"shop, store",noun
президент,president; director,noun
поэт,poet,noun
спасибо,"gratitude, thanks",noun
болезнь,"illness, sickness, disease",noun
событие,event,noun
помочь,to help (See #857),verb
кожа,skin,noun
лист,"leaf, sheet",noun
слать,to send,verb
вспоминать,"to remember, recall",verb
прекрасный,"beautiful, fine",adjective
слеза,tear,noun
надежда,hope,noun
молча,"silently, without a word",adverb
сильно,strongly,adverb
верный,correct; faithful; reliable,adjective
литература,literature,noun
оружие,weapon,noun
готовый,ready,adjective
запах,"smell, odour, scent",noun
неожиданно,"unexpectedly, suddenly",adverb
вчера,yesterday,adverb
вздохнуть,"to take breath, to sigh",verb
роль,role,noun
рост,"growth, increase; height",noun
природа,nature,noun
политический,political,adjective
точка,"dot, point",noun
звезда,star,noun
петь,to sing,verb
садиться,to sit down,verb
фамилия,surname,noun
характер,"character, disposition, temper",noun
пожалуйста,please,misc
выше,higher,adverb
офицер,officer,noun
толпа,crowd,noun
перестать,"to stop, cease",verb
придтись,"to fit, fall; have to",verb
уровень,level,noun
неизвестный,unknown,adjective
кресло,armchair,noun
баба,"woman, wife, old woman, (See #911)",noun
секунда,a second,noun
пожаловать,"to grant, bestow",verb
банк,bank,noun
опыт,experience,noun
тихий,"quiet, low, scelent",adjective
поскольку,"so far as, since",misc
сапог,(high) boot,noun
правило,rule,noun
стекло,glass,noun
получать,"to receive, get (See #239)",verb
внутренний,"inside, internal",adjective
дочь,daughter,noun
называться,to call oneself,verb
надеяться,to hope,verb
член,"member, limb",noun
протянуть,"to stretch, extend",verb
государственный,State,adjective
десяток,"ten, dozens",noun
глубокий,deep,adjective
цветок,flower,noun
ах,"ah!, oh!",misc
желание,wish,noun
дождь,rain,noun
впереди,"before, in front of",preposition
подходить,"to come up, approach;to fit(See #361)",verb
много,"many, much, a lot of(See #187)",adverb
лоб,forehead,noun
улыбка,smile,noun
борьба,"fight, struggle",noun
ворот,collar,noun
ящик,"box, case",noun
этаж,"floor, storey",noun
служить,to serve,verb
вновь,"again, once more",adverb
голубой,"blue, sky-blue",adjective
нечего,"there is nothing, there is no need",misc
революция,revolution,noun
впервые,for the first time,adverb
сосед,neighbour,noun
сестра,sister,noun
долгий,long,adjective
чей,whose,pronoun
поверить,to believe,verb
ситуация,situation,noun
взглянуть,"to look, give a glance",verb
слабый,weak,adjective
количество,quantity,noun
вызывать (See #663),"to call, send",verb
уверенный,"confident, sure",adjective
выход,exit,noun
совет,"advice; masterrussian, dot com",noun
дурак,"fool, idiot",noun
любимый,"dear, loved",adjective
союз,"union, alliance; conjunction",noun
лето,summer,noun
ожидать,to expect,verb
пришлый,"alien, strange",adjective
висеть,to hang,verb
граница,border,noun
цвет,"colour, color",noun
серьезный,serious,adjective
создать,"to create, establish",verb
интересно,interestingly,adverb
свобода,freedom,noun
зато,"but, but then",conjunction
стул,chair,noun
уехать,"to leave, depart",verb
поезд,train,noun
музыка,music,noun
быстрый,"quick, fast",adjective
тень,shadow,noun
лошадь,horse,noun
поле,field,noun
выглядеть,to look,verb
учиться,"to study, learn",verb
левый,left,adjective
разговаривать,"to talk, speak",verb
детский,"child's, children's",adjective
тип,"type, model",noun
суд,"court, law-court",noun
связанный,"related, connected, tied-up",adjective
горячий,hot,adjective
площадь,"square, area",noun
помогать,"to help, assist(See #736)",verb
счастливый,happy,adjective
повернуться,to turn,verb
позволить,"to allow, permit",verb
встретить,to meet,verb
радость,"gladness, joy",noun
острый,sharp; spicy,adjective
возраст,age,noun
орган,"organ, body",noun
карта,map,noun
входить,"to enter, come in",verb
обнаружить,"to discover, find out",verb
король,king,noun
слава,"glory, fame",noun
полковник,colonel,noun
мелкий,"shallow, small",adjective
бок,"side, flank",noun
цена,price,noun
информация,information,noun
мозг,brain,noun
удовольствие,pleasure,noun
воля,will,noun
область,"oblast, province; field",noun
крыша,roof,noun
нести,to carry,verb
обратно,"back, backwards",adverb
современный,"contemporary, modern, up-to-date",adjective
дама,"lady, partner, queen",noun
семь,seven,cardinal number
веселый,"cheerful, merry",adjective
прислать,to send,verb
сад,"garden, yard",noun
правительство,government,noun
милый,"nice, sweet, dear",adjective
относиться,"to treat, regard, relate",verb
возникать,"to arise, appear(See #951)",verb
мол,"he says, they say, etc.",misc
повторить,to repeat,verb
название,"name, title",noun
средний,"average, middle",adjective
пример,example,noun
невозможно,impossible,adverb
зеркало,mirror,noun
погибнуть,"to perish, be killed",verb
американский,American,adjective
дым,smoke,noun
гореть,to burn,verb
плакать,to cry,verb
весьма,"very, highly, greatly",adverb
факт,fact,noun
двигаться,to move,verb
рыба,fish,noun
добавить,to add,verb
удивиться,"to wonder, be surprised",verb
бабушка,grandmother(See #773),noun
вино,wine,noun
ибо,for,conjunction
учитель,"teacher, instructor",noun
действовать,to act,verb
осторожно,"carefully, cautiously",adverb
круг,"circle; masterrussian, dot com",noun
папа,"dad, daddy(See #165)",noun
правильно,"correctly, properly",adverb
недавно,"recently, lately",adverb
держаться,"to hold on, behave",verb
причем,"moreover, and what's more",adverb
лететь,to fly,verb
носить,to wear,verb
повод,"occasion, reason; bridle",noun
лагерь,camp,noun
птица,bird,noun
корабль,ship,noun
мнение,opinion,noun
ночной,night,adjective
здоровый,healthy,adjective
зима,winter,noun
сухой,dry,adjective
километр,"kilometre, kilometer",noun
кровать,bed,noun
привыкнуть,"to get used to, to grow accustomed to",verb
прочее,"et cetera, other",pronoun
свободный,free,adjective
лестница,staircase,noun
неужели,"really, surely",particle
обязательно,"without fail, be sure",adverb
вверх,"up, upwards",adverb
детство,childhood,noun
остров,island,noun
статья,article,noun
позвонить,"to call, to telephone",verb
столь,so,adverb
мешать,"to interfere, prevent; mix",verb
водка,vodka,noun
темнота,darkness,noun
возникнуть,"to arise, spring up(See #892)",verb
способный,capable (of),adjective
станция,station,noun
желать,to wish,verb
попробовать,"to try, test",verb
получаться,to come out,verb
гражданин,citizen,noun
странно,strangely,adverb
вскоре,"soon, shortly",adverb
интересный,interesting,adjective
команда,team; command,noun
заболевание,"disease, illness",noun
живот,"stomach, belly",noun
ставить,"to put, place, set",verb
ради,for the sake of,preposition
тишина,"silence, stillness",noun
понятно,"clearly, plainly",adverb
фронт,front,noun
щека,cheek,noun
страшно,"terribly, awfully",adverb
район,"area, region",noun
наверно,probably(See #461),adverb
проводить,"to lead, escort; accompany(See #713)",verb
выражение,expression,noun
слегка,slightly,adverb
мешок,"bag, sack",noun
обещать,to promise,verb
дорогой,on the way,adjective
судить,"to judge, try",verb
большинство,majority,noun
собраться,"to gather, collect(See #479)",verb
управление,"operation, control",noun
колоть,to prick,verb
мокрый,wet,adjective
приказ,order,noun
прямой,straight,adjective
закричать,"to shout, cry out",verb
кончиться,to end,verb
куст,bush,noun
стрелять,to shoot,verb
художник,"painter, artist",noun
знак,sign,noun
завод,factory,noun
кулак,fist,noun
использовать,"to use, utilize, make use of",verb
стакан,glass,noun
пахнуть,to smell,verb
отсюда,from here,adverb
рот,mouth,noun
пора,"it's time;at times, now and then(See #279)",misc
